时间	设备名称	Bx*	By*	Bz*	B	角度	Bx	By	Bz
 15:51:17.141	COM10_9600_00	-0.039	-0.013	-0.078	0.09	-153.4	-0.013	0.078	-0.039
 15:51:17.294	COM10_9600_00	-0.026	-0.026	-0.104	0.11	-146.3	-0.026	0.104	-0.026
 15:51:17.445	COM10_9600_00	0.052	0.026	-0.091	0.11	135	0.026	0.091	0.052
 15:51:17.596	COM10_9600_00	0	0.065	-0.091	0.11	51.3	0.065	0.091	0
 15:51:17.749	COM10_9600_00	0.026	0.026	-0.091	0.1	90	0.026	0.091	0.026
 15:51:17.902	COM10_9600_00	0	0.039	-0.078	0.09	56.3	0.039	0.078	0
 15:51:18.054	COM10_9600_00	-0.039	0.013	-0.091	0.1	90	0.013	0.091	-0.039
 15:51:18.206	COM10_9600_00	0.065	0	-0.117	0.13	180	0	0.117	0.065
 15:51:18.358	COM10_9600_00	-0.026	0.078	-0.091	0.12	50.1	0.078	0.091	-0.026
 15:51:18.510	COM10_9600_00	0.065	0.026	-0.117	0.14	135	0.026	0.117	0.065
 15:51:18.662	COM10_9600_00	-0.026	0.078	-0.104	0.13	50.1	0.078	0.104	-0.026
 15:51:18.814	COM10_9600_00	0.013	0.026	-0.091	0.1	135	0.026	0.091	0.013
 15:51:18.965	COM10_9600_00	0	0.065	-0.104	0.12	78.6	0.065	0.104	0
 15:51:19.118	COM10_9600_00	0	0	-0.065	0.06	0	0	0.065	0
 15:51:19.270	COM10_9600_00	0.039	0.052	-0.078	0.1	90	0.052	0.078	0.039
 15:51:19.421	COM10_9600_00	-0.013	0.039	-0.117	0.12	45	0.039	0.117	-0.013
 15:51:19.573	COM10_9600_00	0	-0.013	-0.091	0.09	-135	-0.013	0.091	0
 15:51:19.725	COM10_9600_00	0.026	-0.026	-0.065	0.07	-90	-0.026	0.065	0.026
 15:51:19.878	COM10_9600_00	-0.013	0	-0.091	0.09	0	0	0.091	-0.013
 15:51:20.030	COM10_9600_00	0.039	0	-0.091	0.1	180	0	0.091	0.039
 15:51:20.181	COM10_9600_00	-0.026	0.026	-0.117	0.12	33.6	0.026	0.117	-0.026
 15:51:20.332	COM10_9600_00	-0.039	0.013	-0.078	0.09	153.4	0.013	0.078	-0.039
 15:51:20.484	COM10_9600_00	-0.013	0.026	-0.078	0.08	146.3	0.026	0.078	-0.013
 15:51:20.637	COM10_9600_00	0.026	0.039	-0.143	0.15	108.4	0.039	0.143	0.026
 15:51:20.788	COM10_9600_00	-0.013	0	-0.078	0.08	0	0	0.078	-0.013
 15:51:20.940	COM10_9600_00	-0.013	0.078	-0.091	0.12	99.4	0.078	0.091	-0.013
 15:51:21.093	COM10_9600_00	0.013	0.039	-0.091	0.1	108.4	0.039	0.091	0.013
 15:51:21.244	COM10_9600_00	-0.039	0.013	-0.117	0.12	45	0.013	0.117	-0.039
