时间,设备名称,磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),磁场矢量和(ʯt),角度Z(°)
 12:43:39.488,COM10_9600_00, -0.013, 0.000, -0.026, 0.030, 180.000,
 12:43:39.594,COM10_9600_00, -0.039, 0.052, -0.091, 0.110, 104.000,
 12:43:39.698,COM10_9600_00, -0.026, 0.104, 0.000, 0.110, 110.500,
 12:43:39.800,COM10_9600_00, -0.039, 0.013, -0.052, 0.070, 153.400,
 12:43:39.904,COM10_9600_00, 0.000, 0.026, -0.013, 0.030, 146.300,
 12:43:40.007,COM10_9600_00, -0.013, 0.052, -0.039, 0.070, 90.000,
 12:43:40.109,COM10_9600_00, -0.013, 0.013, -0.065, 0.070, 135.000,
 12:43:40.212,COM10_9600_00, -0.026, 0.078, -0.065, 0.100, 99.400,
 12:43:40.313,COM10_9600_00, 0.039, 0.013, -0.052, 0.070, 153.400,
 12:43:40.416,COM10_9600_00, 0.013, 0.026, -0.039, 0.050, 33.600,
 12:43:40.518,COM10_9600_00, -0.065, 0.026, -0.026, 0.070, 63.400,
 12:43:40.620,COM10_9600_00, -0.052, 0.052, -0.026, 0.080, 141.300,
 12:43:40.721,COM10_9600_00, -0.026, 0.013, -0.039, 0.050, 165.900,
 12:43:40.822,COM10_9600_00, -0.026, -0.013, -0.013, 0.030, -153.400,
 12:43:40.924,COM10_9600_00, -0.026, 0.078, -0.065, 0.100, 108.400,
 12:43:41.026,COM10_9600_00, 0.000, 0.026, -0.091, 0.090, 135.000,
 12:43:41.128,COM10_9600_00, -0.013, 0.052, -0.065, 0.080, 90.000,
 12:43:41.230,COM10_9600_00, -0.052, 0.013, -0.052, 0.070, 135.000,
 12:43:41.332,COM10_9600_00, -0.026, 0.039, -0.039, 0.060, 143.100,
 12:43:41.434,COM10_9600_00, 0.039, 0.013, -0.013, 0.040, 153.400,
 12:43:41.536,COM10_9600_00, -0.026, 0.039, -0.065, 0.080, 45.000,
 12:43:41.639,COM10_9600_00, -0.039, 0.013, 0.000, 0.040, 153.400,
 12:43:41.740,COM10_9600_00, -0.013, 0.000, -0.039, 0.040, 180.000,
 12:43:41.842,COM10_9600_00, -0.065, 0.026, -0.039, 0.080, 116.500,
 12:43:41.944,COM10_9600_00, -0.026, 0.013, -0.052, 0.060, 168.600,
 12:43:42.045,COM10_9600_00, -0.026, 0.065, -0.052, 0.090, 111.800,
 12:43:42.147,COM10_9600_00, -0.052, 0.026, -0.026, 0.060, 135.000,
 12:43:42.249,COM10_9600_00, -0.013, 0.000, -0.039, 0.040, 180.000,
 12:43:42.350,COM10_9600_00, -0.039, 0.026, -0.026, 0.050, 116.500,
 12:43:42.452,COM10_9600_00, -0.039, 0.039, -0.039, 0.070, 135.000,
 12:43:42.553,COM10_9600_00, -0.026, 0.026, -0.039, 0.050, 146.300,
 12:43:42.655,COM10_9600_00, 0.000, 0.000, -0.026, 0.030, 180.000,
 12:43:42.757,COM10_9600_00, -0.026, 0.013, -0.013, 0.030, 90.000,
 12:43:42.859,COM10_9600_00, -0.052, 0.052, -0.026, 0.080, 116.500,
 12:43:42.960,COM10_9600_00, -0.026, 0.013, -0.039, 0.050, 165.900,
 12:43:43.064,COM10_9600_00, -0.026, 0.000, -0.065, 0.070, 180.000,
 12:43:43.165,COM10_9600_00, -0.039, 0.026, 0.013, 0.050, 135.000,
 12:43:43.268,COM10_9600_00, 0.013, 0.013, -0.039, 0.040, 161.500,
 12:43:43.371,COM10_9600_00, -0.026, 0.039, -0.078, 0.090, 71.500,
 12:43:43.472,COM10_9600_00, 0.000, 0.026, -0.052, 0.060, 135.000,
 12:43:43.573,COM10_9600_00, 0.026, -0.013, -0.065, 0.070, -90.000,
 12:43:43.676,COM10_9600_00, -0.026, 0.039, -0.052, 0.070, 56.300,
 12:43:43.781,COM10_9600_00, 0.000, 0.000, 0.000, 0.000, 180.000,
 12:43:43.884,COM10_9600_00, 0.013, 0.039, -0.078, 0.090, 90.000,
 12:43:43.985,COM10_9600_00, -0.039, 0.039, -0.039, 0.070, 71.500,
 12:43:44.088,COM10_9600_00, 0.013, 0.039, -0.039, 0.060, 135.000,
 12:43:44.192,COM10_9600_00, -0.013, 0.013, -0.065, 0.070, 45.000,
 12:43:44.295,COM10_9600_00, -0.013, 0.052, -0.026, 0.060, 104.000,
 12:43:44.399,COM10_9600_00, -0.039, 0.065, -0.039, 0.090, 101.300,
 12:43:44.501,COM10_9600_00, -0.039, 0.052, -0.039, 0.080, 126.800,
 12:43:44.602,COM10_9600_00, -0.026, 0.091, -0.013, 0.100, 113.100,
 12:43:44.704,COM10_9600_00, -0.013, 0.026, -0.013, 0.030, 135.000,
 12:43:44.807,COM10_9600_00, -0.052, 0.026, -0.052, 0.080, 116.500,
 12:43:44.909,COM10_9600_00, 0.000, 0.013, -0.091, 0.090, 165.900,
 12:43:45.011,COM10_9600_00, -0.026, 0.026, -0.039, 0.050, 90.000,
 12:43:45.113,COM10_9600_00, -0.013, 0.026, -0.039, 0.050, 135.000,
 12:43:45.214,COM10_9600_00, -0.013, -0.013, 0.000, 0.020, -135.000,
 12:43:45.317,COM10_9600_00, -0.013, 0.078, -0.039, 0.090, 99.400,
 12:43:45.419,COM10_9600_00, -0.039, 0.039, -0.013, 0.060, 108.400,
 12:43:45.522,COM10_9600_00, -0.013, 0.013, -0.052, 0.060, 161.500,
 12:43:45.624,COM10_9600_00, -0.013, 0.052, -0.052, 0.070, 104.000,
 12:43:45.725,COM10_9600_00, -0.039, 0.013, -0.052, 0.070, 135.000,
 12:43:45.826,COM10_9600_00, -0.078, 0.013, -0.026, 0.080, 161.500,
 12:43:45.928,COM10_9600_00, 0.013, 0.000, -0.039, 0.040, 180.000,
 12:43:46.029,COM10_9600_00, -0.013, 0.013, -0.026, 0.030, 45.000,
 12:43:46.130,COM10_9600_00, -0.026, 0.000, -0.026, 0.040, 180.000,
 12:43:46.232,COM10_9600_00, 0.013, 0.026, -0.052, 0.060, 135.000,
 12:43:46.336,COM10_9600_00, 0.000, 0.026, -0.052, 0.060, 63.400,
 12:43:46.438,COM10_9600_00, -0.052, 0.039, -0.039, 0.080, 90.000,
 12:43:46.540,COM10_9600_00, -0.026, -0.013, -0.039, 0.050, -165.900,
 12:43:46.643,COM10_9600_00, -0.039, 0.091, -0.078, 0.130, 105.900,
 12:43:46.744,COM10_9600_00, -0.039, 0.026, -0.091, 0.100, 146.300,
 12:43:46.848,COM10_9600_00, 0.026, 0.013, -0.026, 0.040, 161.500,
 12:43:46.949,COM10_9600_00, -0.065, 0.052, -0.104, 0.130, 63.400,
 12:43:47.052,COM10_9600_00, 0.000, 0.026, -0.039, 0.050, 158.100,
 12:43:47.154,COM10_9600_00, 0.000, 0.065, -0.065, 0.090, 90.000,
 12:43:47.255,COM10_9600_00, -0.065, 0.039, -0.039, 0.090, 90.000,
