时间,设备名称,磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),磁场矢量和(ʯt),角度Z(°)
 14:25:44.701,COM750, -0.052, -0.065, -0.052, 0.100, -120.900,
 14:25:44.801,COM750, -0.039, -0.039, -0.013, 0.060, -143.100,
 14:25:44.897,COM750, -0.052, -0.013, -0.013, 0.060, -161.500,
 14:25:45.001,COM750, -0.039, 0.000, 0.000, 0.040, 180.000,
 14:25:45.101,COM750, -0.026, -0.013, -0.026, 0.040, -161.500,
 14:25:45.201,COM750, -0.052, -0.039, -0.026, 0.070, -123.600,
 14:25:45.301,COM750, -0.052, -0.013, -0.026, 0.060, -165.900,
 14:25:45.401,COM750, -0.026, -0.013, 0.013, 0.030, -165.900,
 14:25:45.502,COM750, -0.026, -0.039, -0.026, 0.050, -123.600,
 14:25:45.602,COM750, -0.013, -0.052, -0.039, 0.070, -116.500,
 14:25:45.702,COM750, -0.065, -0.052, -0.026, 0.090, -104.000,
 14:25:45.800,COM750, -0.052, -0.052, -0.026, 0.080, -141.300,
 14:25:45.902,COM750, -0.065, -0.039, 0.013, 0.080, -143.100,
 14:25:46.000,COM750, -0.052, -0.026, -0.013, 0.060, -158.100,
 14:25:46.101,COM750, -0.039, -0.026, 0.000, 0.050, -153.400,
 14:25:46.202,COM750, -0.039, -0.013, 0.026, 0.050, -161.500,
 14:25:46.302,COM750, -0.052, -0.039, -0.026, 0.070, -135.000,
 14:25:46.402,COM750, -0.052, -0.039, -0.013, 0.070, -143.100,
 14:25:46.503,COM750, -0.052, -0.013, -0.039, 0.070, -165.900,
 14:25:46.603,COM750, -0.026, -0.013, -0.026, 0.040, -165.900,
 14:25:46.702,COM750, -0.026, -0.013, -0.026, 0.040, -153.400,
 14:25:46.803,COM750, -0.039, -0.026, -0.013, 0.050, -135.000,
 14:25:46.902,COM750, -0.065, -0.039, -0.013, 0.080, -135.000,
 14:25:47.000,COM750, -0.052, -0.026, -0.013, 0.060, -158.100,
 14:25:47.100,COM750, -0.039, 0.000, 0.013, 0.040, 180.000,
 14:25:47.200,COM750, -0.026, 0.000, -0.013, 0.030, 180.000,
 14:25:47.302,COM750, -0.026, 0.000, -0.013, 0.030, 180.000,
 14:25:47.401,COM750, -0.026, 0.000, -0.013, 0.030, 180.000,
 14:25:47.500,COM750, -0.052, 0.000, -0.026, 0.060, 180.000,
 14:25:47.600,COM750, -0.052, 0.000, -0.026, 0.060, 180.000,
 14:25:47.700,COM750, -0.026, 0.039, -0.026, 0.050, 143.100,
 14:25:47.802,COM750, -0.039, 0.013, -0.026, 0.050, 153.400,
 14:25:47.904,COM750, -0.039, 0.000, -0.039, 0.060, 180.000,
 14:25:48.004,COM750, -0.026, -0.026, -0.039, 0.050, -146.300,
 14:25:48.104,COM750, -0.026, -0.052, -0.013, 0.060, -116.500,
 14:25:48.201,COM750, -0.052, -0.026, 0.000, 0.060, -135.000,
 14:25:48.301,COM750, -0.039, 0.013, 0.013, 0.040, 165.900,
 14:25:48.403,COM750, -0.026, 0.000, -0.013, 0.030, 180.000,
 14:25:48.502,COM750, -0.039, 0.013, -0.039, 0.060, 153.400,
 14:25:48.604,COM750, -0.039, 0.000, -0.065, 0.080, 180.000,
 14:25:48.704,COM750, -0.039, -0.026, -0.026, 0.050, -146.300,
 14:25:48.806,COM750, -0.026, -0.013, -0.039, 0.050, -161.500,
 14:25:48.906,COM750, -0.039, -0.039, -0.026, 0.060, -123.600,
 14:25:49.006,COM750, -0.026, -0.026, -0.052, 0.060, -146.300,
 14:25:49.105,COM750, -0.039, -0.039, -0.039, 0.070, -123.600,
 14:25:49.205,COM750, -0.065, -0.026, -0.026, 0.070, -146.300,
 14:25:49.306,COM750, -0.130, -0.026, -0.013, 0.130, -158.100,
 14:25:49.412,COM750, -2.990, -0.065, -0.039, 2.990, -153.400,
 14:25:49.512,COM750, -4.043, -2.106, -0.754, 4.620, -144.800,
 14:25:49.612,COM750, -2.678, -3.510, -1.079, 4.540, -139.000,
 14:25:49.712,COM750, -1.781, -3.705, -0.975, 4.220, -125.800,
 14:25:49.810,COM750, -0.754, -4.186, -0.936, 4.360, -113.000,
 14:25:49.908,COM750, 0.429, -4.589, -0.949, 4.710, -99.300,
 14:25:50.010,COM750, 1.521, -4.862, -0.988, 5.190, -84.900,
 14:25:50.110,COM750, 2.808, -5.278, -1.066, 6.070, -73.900,
 14:25:50.209,COM750, 3.939, -5.564, -1.092, 6.900, -63.200,
 14:25:50.312,COM750, 4.953, -5.967, -1.248, 7.850, -56.500,
 14:25:50.411,COM750, 5.629, -6.344, -1.417, 8.600, -52.000,
 14:25:50.511,COM750, 4.836, -6.071, -1.573, 7.920, -47.100,
 14:25:50.611,COM750, 5.044, -6.552, -1.781, 8.460, -53.500,
 14:25:50.711,COM750, 4.836, -6.318, -1.716, 8.140, -51.300,
 14:25:50.811,COM750, 4.810, -6.513, -1.755, 8.280, -53.400,
 14:25:50.911,COM750, 4.953, -6.474, -1.755, 8.340, -53.300,
 14:25:51.012,COM750, 4.979, -6.513, -1.742, 8.380, -52.700,
 14:25:51.111,COM750, 4.888, -6.526, -1.794, 8.350, -52.600,
 14:25:51.213,COM750, 4.875, -6.526, -1.807, 8.340, -53.100,
 14:25:51.311,COM750, 4.914, -6.591, -1.833, 8.420, -53.500,
 14:25:51.413,COM750, 4.927, -6.617, -1.768, 8.440, -53.400,
 14:25:51.512,COM750, 4.862, -6.591, -1.768, 8.380, -53.200,
 14:25:51.613,COM750, 4.875, -6.591, -1.755, 8.380, -53.500,
 14:25:51.713,COM750, 4.901, -6.604, -1.768, 8.410, -53.500,
 14:25:51.813,COM750, 4.927, -6.617, -1.781, 8.440, -53.400,
 14:25:51.913,COM750, 4.914, -6.656, -1.807, 8.470, -53.400,
 14:25:52.012,COM750, 5.070, -6.656, -1.781, 8.550, -53.500,
 14:25:52.114,COM750, 5.447, -6.591, -1.794, 8.740, -52.400,
 14:25:52.213,COM750, 5.512, -6.461, -1.742, 8.670, -49.800,
 14:25:52.313,COM750, 5.460, -6.474, -1.716, 8.640, -49.500,
 14:25:52.413,COM750, 5.395, -6.513, -1.742, 8.630, -50.000,
