时间,设备名称,磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),磁场矢量和(ʯt),角度Z(°)
 15:22:09.506,COM10_9600_00, 0.039, 0.039, 0.078, 0.100, 45.000,
 15:22:09.610,COM10_9600_00, 0.039, 0.039, 0.078, 0.100, 45.000,
 15:22:09.712,COM10_9600_00, 0.039, 0.039, 0.078, 0.100, 45.000,
 15:22:09.814,COM10_9600_00, 0.026, 0.039, 0.078, 0.090, 45.000,
 15:22:09.916,COM10_9600_00, 0.039, 0.039, 0.078, 0.100, 56.300,
 15:22:10.018,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 45.000,
 15:22:10.120,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:10.222,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:10.324,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:10.426,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:10.528,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:10.630,COM10_9600_00, 0.026, 0.039, 0.078, 0.090, 56.300,
 15:22:10.732,COM10_9600_00, 0.026, 0.039, 0.078, 0.090, 56.300,
 15:22:10.834,COM10_9600_00, 0.013, 0.039, 0.078, 0.090, 56.300,
 15:22:10.936,COM10_9600_00, 0.026, 0.039, 0.078, 0.090, 71.500,
 15:22:11.038,COM10_9600_00, 0.013, 0.039, 0.078, 0.090, 56.300,
 15:22:11.140,COM10_9600_00, 0.013, 0.039, 0.078, 0.090, 71.500,
 15:22:11.242,COM10_9600_00, 0.026, 0.039, 0.078, 0.090, 71.500,
 15:22:11.344,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:11.446,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:11.548,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:11.650,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:11.752,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:11.854,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:11.956,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:12.057,COM10_9600_00, 0.026, 0.039, 0.026, 0.050, 56.300,
 15:22:12.159,COM10_9600_00, 0.026, 0.039, 0.026, 0.050, 56.300,
 15:22:12.261,COM10_9600_00, 0.026, 0.039, 0.026, 0.050, 56.300,
 15:22:12.363,COM10_9600_00, 0.013, 0.039, 0.026, 0.050, 56.300,
 15:22:12.465,COM10_9600_00, 0.013, 0.039, 0.026, 0.050, 71.500,
 15:22:12.567,COM10_9600_00, 0.013, 0.039, 0.039, 0.060, 71.500,
 15:22:12.669,COM10_9600_00, 0.026, 0.052, 0.039, 0.070, 75.900,
 15:22:12.771,COM10_9600_00, 0.026, 0.052, 0.039, 0.070, 63.400,
 15:22:12.873,COM10_9600_00, 0.026, 0.052, 0.039, 0.070, 63.400,
 15:22:12.975,COM10_9600_00, 0.026, 0.039, 0.039, 0.060, 56.300,
 15:22:13.079,COM10_9600_00, 0.013, 0.039, 0.039, 0.060, 56.300,
 15:22:13.181,COM10_9600_00, 0.013, 0.039, 0.039, 0.060, 71.500,
 15:22:13.283,COM10_9600_00, 0.013, 0.039, 0.039, 0.060, 71.500,
 15:22:13.385,COM10_9600_00, 0.013, 0.039, 0.039, 0.060, 71.500,
 15:22:13.486,COM10_9600_00, 0.013, 0.039, 0.039, 0.060, 71.500,
 15:22:13.588,COM10_9600_00, 0.013, 0.039, 0.039, 0.060, 71.500,
 15:22:13.689,COM10_9600_00, 0.039, 0.039, 0.039, 0.070, 71.500,
 15:22:13.791,COM10_9600_00, 0.039, 0.039, 0.039, 0.070, 45.000,
 15:22:13.893,COM10_9600_00, 0.039, 0.013, 0.039, 0.060, 18.400,
 15:22:13.995,COM10_9600_00, 0.039, 0.026, 0.039, 0.060, 33.600,
 15:22:14.097,COM10_9600_00, 0.039, 0.026, 0.065, 0.080, 33.600,
 15:22:14.198,COM10_9600_00, 0.039, 0.026, 0.065, 0.080, 33.600,
 15:22:14.300,COM10_9600_00, 0.039, 0.026, 0.065, 0.080, 33.600,
 15:22:14.403,COM10_9600_00, 0.039, 0.026, 0.065, 0.080, 33.600,
 15:22:14.505,COM10_9600_00, 0.026, 0.026, 0.065, 0.070, 33.600,
 15:22:14.607,COM10_9600_00, 0.026, 0.026, 0.065, 0.070, 45.000,
 15:22:14.709,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 63.400,
 15:22:14.811,COM10_9600_00, 0.026, 0.052, 0.078, 0.100, 63.400,
 15:22:14.914,COM10_9600_00, 0.026, 0.052, 0.078, 0.100, 63.400,
 15:22:15.015,COM10_9600_00, 0.026, 0.052, 0.078, 0.100, 63.400,
 15:22:15.117,COM10_9600_00, 0.026, 0.052, 0.078, 0.100, 63.400,
 15:22:15.220,COM10_9600_00, 0.013, 0.052, 0.078, 0.090, 63.400,
 15:22:15.321,COM10_9600_00, 0.026, 0.039, 0.078, 0.090, 71.500,
 15:22:15.424,COM10_9600_00, 0.026, 0.052, 0.078, 0.100, 63.400,
 15:22:15.525,COM10_9600_00, 0.026, 0.052, 0.078, 0.100, 63.400,
 15:22:15.627,COM10_9600_00, 0.013, 0.039, 0.078, 0.090, 56.300,
 15:22:15.728,COM10_9600_00, 0.013, 0.039, 0.078, 0.090, 71.500,
 15:22:15.829,COM10_9600_00, 0.026, 0.039, 0.078, 0.090, 71.500,
 15:22:15.932,COM10_9600_00, 0.026, 0.039, 0.078, 0.090, 56.300,
 15:22:16.034,COM10_9600_00, 0.026, 0.039, 0.078, 0.090, 56.300,
 15:22:16.135,COM10_9600_00, 0.013, 0.039, 0.078, 0.090, 56.300,
 15:22:16.237,COM10_9600_00, 0.013, 0.039, 0.078, 0.090, 71.500,
 15:22:16.339,COM10_9600_00, 0.013, 0.052, 0.078, 0.090, 75.900,
 15:22:16.441,COM10_9600_00, 0.026, 0.052, 0.078, 0.100, 75.900,
 15:22:16.543,COM10_9600_00, 0.026, 0.052, 0.078, 0.100, 63.400,
 15:22:16.645,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 63.400,
 15:22:16.747,COM10_9600_00, 0.013, 0.052, 0.065, 0.080, 63.400,
 15:22:16.849,COM10_9600_00, 0.013, 0.039, 0.065, 0.080, 71.500,
 15:22:16.952,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 75.900,
 15:22:17.053,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 63.400,
 15:22:17.155,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 63.400,
 15:22:17.257,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:17.358,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:17.460,COM10_9600_00, 0.039, 0.039, 0.065, 0.090, 56.300,
 15:22:17.561,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 45.000,
 15:22:17.665,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 63.400,
 15:22:17.767,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 63.400,
 15:22:17.870,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 63.400,
 15:22:17.973,COM10_9600_00, 0.026, 0.052, 0.052, 0.080, 63.400,
 15:22:18.075,COM10_9600_00, 0.013, 0.052, 0.052, 0.070, 63.400,
 15:22:18.176,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 71.500,
 15:22:18.277,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 56.300,
 15:22:18.380,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 56.300,
 15:22:18.481,COM10_9600_00, 0.039, 0.039, 0.052, 0.080, 56.300,
 15:22:18.583,COM10_9600_00, 0.039, 0.039, 0.052, 0.080, 45.000,
 15:22:18.685,COM10_9600_00, 0.039, 0.039, 0.052, 0.080, 45.000,
 15:22:18.787,COM10_9600_00, 0.039, 0.039, 0.052, 0.080, 45.000,
 15:22:18.889,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 45.000,
 15:22:18.991,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 56.300,
 15:22:19.093,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 56.300,
 15:22:19.196,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 56.300,
 15:22:19.298,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 56.300,
 15:22:19.400,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 56.300,
 15:22:19.502,COM10_9600_00, 0.013, 0.039, 0.052, 0.070, 56.300,
 15:22:19.604,COM10_9600_00, 0.013, 0.039, 0.052, 0.070, 71.500,
 15:22:19.707,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 71.500,
 15:22:19.809,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 56.300,
 15:22:19.910,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 56.300,
 15:22:20.013,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 56.300,
 15:22:20.115,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 56.300,
 15:22:20.218,COM10_9600_00, 0.026, 0.039, 0.052, 0.070, 56.300,
 15:22:20.319,COM10_9600_00, 0.026, 0.039, 0.039, 0.060, 56.300,
 15:22:20.421,COM10_9600_00, 0.026, 0.039, 0.039, 0.060, 56.300,
 15:22:20.523,COM10_9600_00, 0.026, 0.039, 0.039, 0.060, 56.300,
 15:22:20.625,COM10_9600_00, 0.013, 0.039, 0.039, 0.060, 56.300,
 15:22:20.728,COM10_9600_00, 0.013, 0.039, 0.039, 0.060, 71.500,
 15:22:20.830,COM10_9600_00, 0.013, 0.039, 0.039, 0.060, 71.500,
 15:22:20.932,COM10_9600_00, 0.013, 0.039, 0.065, 0.080, 71.500,
 15:22:21.034,COM10_9600_00, 0.013, 0.039, 0.065, 0.080, 71.500,
 15:22:21.136,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 71.500,
 15:22:21.238,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:21.340,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:21.442,COM10_9600_00, 0.013, 0.039, 0.065, 0.080, 56.300,
 15:22:21.549,COM10_9600_00, 0.013, 0.039, 0.065, 0.080, 71.500,
 15:22:21.651,COM10_9600_00, 0.013, 0.039, 0.065, 0.080, 71.500,
 15:22:21.753,COM10_9600_00, 0.013, 0.026, 0.065, 0.070, 63.400,
 15:22:21.854,COM10_9600_00, 0.013, 0.039, 0.065, 0.080, 71.500,
 15:22:21.956,COM10_9600_00, 0.013, 0.039, 0.065, 0.080, 71.500,
 15:22:22.058,COM10_9600_00, 0.039, 0.039, 0.065, 0.090, 71.500,
 15:22:22.160,COM10_9600_00, 0.039, 0.052, 0.065, 0.090, 53.100,
 15:22:22.261,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 53.100,
 15:22:22.363,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 63.400,
 15:22:22.465,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 63.400,
 15:22:22.567,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
 15:22:22.668,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 63.400,
 15:22:22.769,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 63.400,
 15:22:22.871,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 63.400,
 15:22:22.973,COM10_9600_00, 0.039, 0.052, 0.065, 0.090, 63.400,
 15:22:23.075,COM10_9600_00, 0.039, 0.052, 0.065, 0.090, 53.100,
 15:22:23.177,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 53.100,
 15:22:23.278,COM10_9600_00, 0.039, 0.052, 0.065, 0.090, 63.400,
 15:22:23.380,COM10_9600_00, 0.026, 0.052, 0.065, 0.090, 53.100,
 15:22:23.482,COM10_9600_00, 0.039, 0.052, 0.065, 0.090, 63.400,
 15:22:23.584,COM10_9600_00, 0.039, 0.052, 0.078, 0.100, 53.100,
 15:22:23.686,COM10_9600_00, 0.026, 0.052, 0.078, 0.100, 53.100,
 15:22:23.789,COM10_9600_00, 0.026, 0.052, 0.078, 0.100, 63.400,
 15:22:23.891,COM10_9600_00, 0.026, 0.052, 0.078, 0.100, 63.400,
 15:22:23.992,COM10_9600_00, 0.026, 0.052, 0.078, 0.100, 63.400,
 15:22:24.094,COM10_9600_00, 0.026, 0.039, 0.078, 0.090, 56.300,
 15:22:24.196,COM10_9600_00, 0.026, 0.039, 0.078, 0.090, 56.300,
 15:22:24.298,COM10_9600_00, 0.026, 0.039, 0.065, 0.080, 56.300,
