时间,设备名称,磁场X(ʯt),磁场Y(ʯt),磁场Z(ʯt),磁场矢量和(ʯt),角度Z(°)
 16:21:03.383,COM10_9600_00,5.733,5.772,5.759,9.97,45.2
 16:21:03.487,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:03.589,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:03.690,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:03.791,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:03.893,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:03.995,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:04.098,COM10_9600_00,5.733,5.772,5.759,9.97,45.1
 16:21:04.200,COM10_9600_00,5.72,5.772,5.759,9.96,45.1
 16:21:04.302,COM10_9600_00,5.707,5.772,5.759,9.95,45.2
 16:21:04.404,COM10_9600_00,5.72,5.772,5.759,9.96,45.3
 16:21:04.507,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:04.609,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:04.711,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:04.813,COM10_9600_00,5.707,5.772,5.759,9.95,45.2
 16:21:04.916,COM10_9600_00,5.72,5.772,5.759,9.96,45.3
 16:21:05.018,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:05.120,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:05.222,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:05.324,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:05.425,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:05.526,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:05.629,COM10_9600_00,5.733,5.772,5.759,9.97,45.2
 16:21:05.730,COM10_9600_00,5.733,5.772,5.772,9.97,45.1
 16:21:05.834,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:05.936,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:06.039,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:06.139,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:06.243,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:06.345,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:06.448,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:06.550,COM10_9600_00,5.759,5.772,5.759,9.98,45.1
 16:21:06.652,COM10_9600_00,5.746,5.772,5.759,9.97,45
 16:21:06.753,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:06.855,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:06.956,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:07.057,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:07.159,COM10_9600_00,5.746,5.772,5.759,9.97,45.1
 16:21:07.260,COM10_9600_00,5.733,5.772,5.759,9.97,45.1
 16:21:07.363,COM10_9600_00,5.72,5.772,5.759,9.96,45.1
 16:21:07.465,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:07.567,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:07.668,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:07.770,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:07.873,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:07.974,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:08.075,COM10_9600_00,5.733,5.772,5.759,9.97,45.2
 16:21:08.279,COM10_9600_00,5.72,5.772,5.759,9.96,45.1
 16:21:08.381,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:08.482,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:08.585,COM10_9600_00,5.733,5.772,5.759,9.97,45.2
 16:21:08.687,COM10_9600_00,5.72,5.785,5.759,9.97,45.2
 16:21:08.790,COM10_9600_00,5.733,5.785,5.759,9.97,45.3
 16:21:08.892,COM10_9600_00,5.72,5.772,5.759,9.96,45.1
 16:21:08.993,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:09.095,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:09.197,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:09.299,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:09.401,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:09.503,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:09.605,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:09.706,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:09.807,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:09.908,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:10.010,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:10.112,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:10.214,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:10.316,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:10.418,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:10.519,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:10.621,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:10.722,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:10.825,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:10.927,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:11.029,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:11.131,COM10_9600_00,5.72,5.759,5.759,9.95,45.1
 16:21:11.233,COM10_9600_00,5.72,5.759,5.759,9.95,45.1
 16:21:11.335,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:11.437,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:11.539,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:11.641,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:11.742,COM10_9600_00,5.733,5.772,5.772,9.97,45.2
 16:21:11.843,COM10_9600_00,5.72,5.772,5.772,9.97,45.1
 16:21:11.946,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:12.048,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:12.150,COM10_9600_00,5.72,5.772,5.785,9.97,45.2
 16:21:12.253,COM10_9600_00,5.72,5.772,5.785,9.97,45.2
 16:21:12.355,COM10_9600_00,5.72,5.772,5.785,9.97,45.2
 16:21:12.457,COM10_9600_00,5.72,5.772,5.785,9.97,45.2
 16:21:12.557,COM10_9600_00,5.72,5.772,5.785,9.97,45.2
 16:21:12.659,COM10_9600_00,5.759,5.772,5.785,10,45.2
 16:21:12.762,COM10_9600_00,5.759,5.772,5.759,9.98,45
 16:21:12.863,COM10_9600_00,5.759,5.772,5.759,9.98,45
 16:21:12.964,COM10_9600_00,5.759,5.772,5.759,9.98,45
 16:21:13.065,COM10_9600_00,5.746,5.772,5.759,9.97,45
 16:21:13.168,COM10_9600_00,5.733,5.772,5.759,9.97,45.1
 16:21:13.269,COM10_9600_00,5.72,5.772,5.759,9.96,45.1
 16:21:13.371,COM10_9600_00,5.72,5.772,5.759,9.96,45.2
 16:21:13.473,COM10_9600_00,5.707,5.772,5.759,9.95,45.2
 16:21:13.574,COM10_9600_00,5.759,5.772,5.759,9.98,45.3
 16:21:13.676,COM10_9600_00,5.759,5.772,5.772,9.99,45
 16:21:13.779,COM10_9600_00,5.759,5.772,5.772,9.99,45
 16:21:13.880,COM10_9600_00,5.759,5.772,5.772,9.99,45
 16:21:13.983,COM10_9600_00,5.759,5.772,5.772,9.99,45
 16:21:14.085,COM10_9600_00,5.759,5.772,5.772,9.99,45
 16:21:14.187,COM10_9600_00,5.759,5.772,5.772,9.99,45
 16:21:14.289,COM10_9600_00,5.746,5.772,5.772,9.98,45
 16:21:14.391,COM10_9600_00,5.746,5.772,5.772,9.98,45.1
 16:21:14.492,COM10_9600_00,5.733,5.772,5.772,9.97,45.1
 16:21:14.594,COM10_9600_00,5.733,5.772,5.772,9.97,45.1
 16:21:14.696,COM10_9600_00,5.733,5.772,5.772,9.97,45.1
 16:21:14.798,COM10_9600_00,5.733,5.772,5.772,9.97,45.1
 16:21:14.900,COM10_9600_00,5.733,5.772,5.772,9.97,45.1
 16:21:15.001,COM10_9600_00,5.733,5.772,5.772,9.97,45.1
 16:21:15.104,COM10_9600_00,5.746,5.772,5.772,9.98,45.1
 16:21:15.204,COM10_9600_00,5.746,5.772,5.772,9.98,45.1
 16:21:15.306,COM10_9600_00,5.733,5.772,5.772,9.97,45.1
 16:21:15.407,COM10_9600_00,5.733,5.772,5.772,9.97,45.1
 16:21:15.508,COM10_9600_00,5.733,5.772,5.772,9.97,45.1
 16:21:15.611,COM10_9600_00,5.733,5.772,5.772,9.97,45.1
 16:21:15.713,COM10_9600_00,5.72,5.772,5.772,9.97,45.1
 16:21:15.815,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:15.918,COM10_9600_00,5.72,5.772,5.785,9.97,45.2
 16:21:16.019,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:16.121,COM10_9600_00,5.733,5.772,5.772,9.97,45.2
 16:21:16.224,COM10_9600_00,5.72,5.772,5.772,9.97,45.1
 16:21:16.325,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:16.427,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:16.529,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:16.631,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:16.731,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:16.834,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:16.935,COM10_9600_00,5.733,5.772,5.772,9.97,45.2
 16:21:17.036,COM10_9600_00,5.72,5.772,5.772,9.97,45.1
 16:21:17.138,COM10_9600_00,5.72,5.772,5.772,9.97,45.2
 16:21:17.241,COM10_9600_00,5.72,5.785,5.772,9.97,45.3
 16:21:17.343,COM10_9600_00,5.72,5.785,5.772,9.97,45.3
 16:21:17.444,COM10_9600_00,5.72,5.785,5.785,9.98,45.3
 16:21:17.546,COM10_9600_00,5.72,5.785,5.785,9.98,45.3
 16:21:17.648,COM10_9600_00,5.733,5.785,5.785,9.99,45.3
 16:21:17.750,COM10_9600_00,5.733,5.785,5.785,9.99,45.2
 16:21:17.851,COM10_9600_00,5.72,5.785,5.785,9.98,45.2
 16:21:17.953,COM10_9600_00,5.72,5.785,5.785,9.98,45.3
 16:21:18.055,COM10_9600_00,5.72,5.772,5.785,9.97,45.2
 16:21:18.157,COM10_9600_00,5.733,5.772,5.785,9.98,45.2
 16:21:18.259,COM10_9600_00,5.733,5.772,5.785,9.98,45.1
 16:21:18.360,COM10_9600_00,5.733,5.759,5.785,9.97,45.1
 16:21:18.461,COM10_9600_00,5.733,5.759,5.785,9.97,45.1
 16:21:18.563,COM10_9600_00,5.759,5.759,5.785,9.99,45.1
 16:21:18.665,COM10_9600_00,5.746,5.759,5.785,9.98,45
